Epoch: 84, Average Loss: 0.04583733406876784, Correct: 95.1923076923077%
Epoch: 85, Average Loss: 0.04575700796542321, Correct: 95.1923076923077%
Epoch: 86, Average Loss: 0.04567863067517529, Correct: 95.1923076923077%
Epoch: 87, Average Loss: 0.04560212827413656, Correct: 95.1923076923077%
Epoch: 88, Average Loss: 0.04552743043733639, Correct: 95.1923076923077%
Epoch: 89, Average Loss: 0.04545447022676342, Correct: 95.1923076923077%
Epoch: 90, Average Loss: 0.045383183894022384, Correct: 95.1923076923077%
Epoch: 91, Average Loss: 0.04531351069645606, Correct: 95.1923076923077%
Epoch: 92, Average Loss: 0.045245392725684064, Correct: 95.1923076923077%
Epoch: 93, Average Loss: 0.04517877474760201, Correct: 95.1923076923077%
Epoch: 94, Average Loss: 0.04511360405296593, Correct: 95.1923076923077%
Epoch: 95, Average Loss: 0.04504983031776256, Correct: 95.1923076923077%
Epoch: 96, Average Loss: 0.044987405472633225, Correct: 95.1923076923077%
Epoch: 97, Average Loss: 0.044926283580680314, Correct: 95.1923076923077%
Epoch: 98, Average Loss: 0.04486642072304129, Correct: 95.1923076923077%
Epoch: 99, Average Loss: 0.044807774891665514, Correct: 95.1923076923077%
Epoch: 100, Average Loss: 0.04475030588877542, Correct: 95.1923076923077%
Epoch: 101, Average Loss: 0.044693975232535085, Correct: 95.1923076923077%
Epoch: 102, Average Loss: 0.04463874606848755, Correct: 95.1923076923077%
Epoch: 103, Average Loss: 0.04458458308635731, Correct: 95.1923076923077%
Epoch: 104, Average Loss: 0.04453145244184523, Correct: 95.1923076923077%
Epoch: 105, Average Loss: 0.0444793216830734, Correct: 95.1923076923077%
Epoch: 106, Average Loss: 0.0444281596813625, Correct: 95.1923076923077%
Epoch: 107, Average Loss: 0.04437793656604983, Correct: 95.1923076923077%
Epoch: 108, Average Loss: 0.044328623663077105, Correct: 95.1923076923077%
Epoch: 109, Average Loss: 0.0442801934370984, Correct: 95.1923076923077%
Epoch: 110, Average Loss: 0.044232619436876716, Correct: 95.1923076923077%
Epoch: 111, Average Loss: 0.04418587624375479, Correct: 95.1923076923077%
Epoch: 112, Average Loss: 0.04413993942300175, Correct: 95.1923076923077%
Epoch: 113, Average Loss: 0.04409478547785112, Correct: 95.1923076923077%
Epoch: 114, Average Loss: 0.04405039180605977, Correct: 95.1923076923077%
Epoch: 115, Average Loss: 0.04400673665882842, Correct: 95.1923076923077%
Epoch: 116, Average Loss: 0.043963799101936984, Correct: 95.1923076923077%
Epoch: 117, Average Loss: 0.04392155897895689, Correct: 95.1923076923077%
Epoch: 118, Average Loss: 0.04387999687641353, Correct: 95.1923076923077%
Epoch: 119, Average Loss: 0.04383909409077956, Correct: 95.1923076923077%
Epoch: 120, Average Loss: 0.043798832597188746, Correct: 95.1923076923077%
Epoch: 121, Average Loss: 0.043759195019767265, Correct: 95.1923076923077%
Epoch: 122, Average Loss: 0.043720164603486114, Correct: 95.1923076923077%
Epoch: 123, Average Loss: 0.04368172518744538, Correct: 95.1923076923077%
Epoch: 124, Average Loss: 0.043643861179506076, Correct: 95.1923076923077%
Epoch: 125, Average Loss: 0.043606557532191954, Correct: 95.1923076923077%
Epoch: 126, Average Loss: 0.043569799719787694, Correct: 95.1923076923077%
Epoch: 127, Average Loss: 0.04353357371656541, Correct: 95.1923076923077%
Epoch: 128, Average Loss: 0.04349786597607548, Correct: 95.1923076923077%
Epoch: 129, Average Loss: 0.043462663411441727, Correct: 95.1923076923077%
Epoch: 130, Average Loss: 0.043427953376605134, Correct: 95.1923076923077%
Epoch: 131, Average Loss: 0.04339372364846336, Correct: 95.1923076923077%
Epoch: 132, Average Loss: 0.04335996240985679, Correct: 95.1923076923077%
Epoch: 133, Average Loss: 0.04332665823335521, Correct: 95.1923076923077%
Epoch: 134, Average Loss: 0.04329380006580143, Correct: 95.1923076923077%
Epoch: 135, Average Loss: 0.04326137721357143, Correct: 95.1923076923077%
Epoch: 136, Average Loss: 0.04322937932851269, Correct: 95.1923076923077%
Epoch: 137, Average Loss: 0.04319779639452475, Correct: 95.1923076923077%
Epoch: 138, Average Loss: 0.04316661871474832, Correct: 95.1923076923077%
Epoch: 139, Average Loss: 0.04313583689933123, Correct: 95.1923076923077%
Epoch: 140, Average Loss: 0.04310544185374116, Correct: 95.1923076923077%
Epoch: 141, Average Loss: 0.04307542476759721, Correct: 95.1923076923077%
Epoch: 142, Average Loss: 0.043045777103993675, Correct: 95.1923076923077%
Epoch: 143, Average Loss: 0.043016490589291086, Correct: 95.1923076923077%
Epoch: 144, Average Loss: 0.0429875572033512, Correct: 95.1923076923077%
Epoch: 145, Average Loss: 0.042958969170193345, Correct: 95.1923076923077%
Epoch: 146, Average Loss: 0.04293071894905151, Correct: 95.1923076923077%
Epoch: 147, Average Loss: 0.04290279922581237, Correct: 95.1923076923077%
Epoch: 148, Average Loss: 0.0428752029048155, Correct: 95.1923076923077%
Epoch: 149, Average Loss: 0.042847923100998206, Correct: 95.1923076923077%
Trained after 0.7172713279724121s
================================

==============================
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 88.99896844791502%
Output choice: 1, Confidence: 11.222007415108871%
Sample Attributes: [180.0, 92.0, 34.0, 5.3, 63.0, 69.0, 169.0, 1.0, 25.0, 145.0, 72.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 97.19195862352362%
Output choice: 1, Confidence: 2.927772407422754%
Sample Attributes: [194.0, 54.0, 57.0, 3.4, 63.0, 70.0, 181.0, 1.0, 26.0, 184.0, 76.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 93.21110776293663%
Output choice: 1, Confidence: 6.545662661646961%
Sample Attributes: [194.0, 80.0, 34.0, 5.7, 63.0, 73.0, 175.0, 1.0, 23.1, 131.0, 88.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 96.0629242055615%
Output choice: 1, Confidence: 3.7377975046009775%
Sample Attributes: [212.0, 82.0, 68.0, 3.1, 63.0, 70.0, 161.0, 1.0, 23.1, 180.0, 110.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 94.34480920084376%
Output choice: 1, Confidence: 5.51316586072399%
Sample Attributes: [293.0, 87.0, 120.0, 2.4, 63.0, 64.0, 179.0, 0.0, 30.7, 142.0, 80.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 70.87265819402147%
Output choice: 1, Confidence: 27.52410865739111%
Sample Attributes: [194.0, 95.0, 36.0, 5.4, 63.0, 58.0, 210.0, 0.0, 43.9, 140.0, 100.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 80.82499969009874%
Output choice: 1, Confidence: 19.230582575522178%
Sample Attributes: [277.0, 88.0, 45.0, 6.2, 63.0, 64.0, 223.0, 0.0, 38.3, 220.0, 100.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 89.9659862889597%
Output choice: 1, Confidence: 9.567380958916726%
Sample Attributes: [157.0, 91.0, 34.0, 4.6, 63.0, 69.0, 166.0, 1.0, 24.5, 106.0, 82.0]
[=======CORRECT=======], Correct choice: 1
Output choice: 1, Confidence: 54.94994491806436%
Output choice: 0, Confidence: 43.752410619769925%
Sample Attributes: [283.0, 145.0, 39.0, 7.3, 63.0, 61.0, 200.0, 0.0, 37.8, 190.0, 110.0]
[xxxxxxxINCORRECTxxxxxxx], Correct choice: 1
Output choice: 0, Confidence: 68.51209537587384%
Output choice: 1, Confidence: 32.0974708678724%
Sample Attributes: [215.0, 119.0, 44.0, 3.9, 63.0, 63.0, 158.0, 0.0, 28.0, 160.0, 68.0]
[=======CORRECT=======], Correct choice: 1
Output choice: 1, Confidence: 95.02158913667937%
Output choice: 0, Confidence: 4.889370621518179%
Sample Attributes: [342.0, 251.0, 48.0, 7.1, 63.0, 65.0, 201.0, 0.0, 33.4, 178.0, 88.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 89.52299542008132%
Output choice: 1, Confidence: 9.96768832678043%
Sample Attributes: [202.0, 81.0, 55.0, 3.7, 64.0, 62.0, 167.0, 0.0, 30.5, 190.0, 118.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 80.19296389111527%
Output choice: 1, Confidence: 19.317910878099326%
Sample Attributes: [255.0, 100.0, 34.0, 7.5, 64.0, 68.0, 227.0, 1.0, 34.5, 134.0, 74.0]
[=======CORRECT=======], Correct choice: 1
Output choice: 1, Confidence: 66.98534536627504%
Output choice: 0, Confidence: 34.42139425293699%
Sample Attributes: [181.0, 177.0, 24.0, 7.5, 64.0, 71.0, 225.0, 1.0, 31.4, 130.0, 66.0]
[xxxxxxxINCORRECTxxxxxxx], Correct choice: 1
Output choice: 0, Confidence: 85.90924357196437%
Output choice: 1, Confidence: 13.908777344281312%
Sample Attributes: [249.0, 90.0, 28.0, 8.9, 64.0, 68.0, 183.0, 1.0, 27.8, 138.0, 80.0]
[=======CORRECT=======], Correct choice: 1
Output choice: 1, Confidence: 79.60561017223398%
Output choice: 0, Confidence: 20.21947470484267%
Sample Attributes: [249.0, 197.0, 44.0, 5.7, 64.0, 63.0, 159.0, 0.0, 28.2, 151.0, 85.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 70.27222048023309%
Output choice: 1, Confidence: 28.490736951363417%
Sample Attributes: [219.0, 106.0, 50.0, 4.4, 65.0, 63.0, 233.0, 0.0, 41.3, 140.0, 90.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 85.90011433490561%
Output choice: 1, Confidence: 14.05123884799981%
Sample Attributes: [229.0, 95.0, 74.0, 3.1, 65.0, 62.0, 151.0, 0.0, 27.6, 125.0, 64.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 76.73705360310616%
Output choice: 1, Confidence: 22.517777586239962%
Sample Attributes: [212.0, 97.0, 45.0, 4.7, 65.0, 61.0, 187.0, 0.0, 35.3, 158.0, 94.0]
[=======CORRECT=======], Correct choice: 0
Output choice: 0, Confidence: 93.1663284226737%
Output choice: 1, Confidence: 7.037994229146502%
